HTC One M9 Новые Магазин Гарантия на 1 год,14 990 руб.,м. Савеловская,https://www.avito.ru/moskva/telefony/htc_one_m9_novye_magazin_garantiya_na_1_god_1061505292
HTC One V,2 000 руб.,м. Каховская,https://www.avito.ru/moskva/telefony/htc_one_v_1055305579
HTC T3333 Touch2,1 300 руб.,м. Марьино,https://www.avito.ru/moskva/telefony/htc_t3333_touch2_908827564
HTC desire 326g(dual sim),3 000 руб.,м. Пионерская,https://www.avito.ru/moskva/telefony/htc_desire_326gdual_sim_1035022035
HTC U11 plus,41 000 руб.,м. Новые Черемушки,https://www.avito.ru/moskva/telefony/htc_u11_plus_1333803570
HTC Desire dual 600,3 000 руб.,м. Щелковская,https://www.avito.ru/moskva/telefony/htc_desire_dual_600_1210152760
Htc sensation XE,1 500 руб.,м. Планерная,https://www.avito.ru/moskva/telefony/htc_sensation_xe_1671207429
HTC,3 000 руб.,м. Кунцевская,https://www.avito.ru/moskva/telefony/htc_935176267
Htc Телефон,3 000 руб.,м. Войковская,https://www.avito.ru/moskva/telefony/htc_telefon_1002263190
HTC One X,2 500 руб.,м. Новые Черемушки,https://www.avito.ru/moskva/telefony/htc_one_x_899655692
HTC Desire 816,7 000 руб.,м. ВДНХ,https://www.avito.ru/moskva/telefony/htc_desire_816_944267302
HTC one m7 dual sim,10 000 руб.,м. Митино,https://www.avito.ru/moskva/telefony/htc_one_m7_dual_sim_848670980
Htc Desire 728G dual sim,4 000 руб.,м. Хорошево,https://www.avito.ru/moskva/telefony/htc_desire_728g_dual_sim_1566017679
HTC J butterfly HTV31 Продажа или обмен,Цена не указана,м. Строгино,https://www.avito.ru/moskva/telefony/htc_j_butterfly_htv31_prodazha_ili_obmen_1548452366
HTC Wildfire S белый 2гб памяти Android 4.2.2,2 000 руб.,м. Пятницкое шоссе,https://www.avito.ru/moskva/telefony/htc_wildfire_s_belyy_2gb_pamyati_android_4.2.2_487552692
HTC,2 500 руб.,м. Шаболовская,https://www.avito.ru/moskva/telefony/htc_1587846837
HTC One M8 16gb dual sim Ростест,8 500 руб.,,https://www.avito.ru/moskva/telefony/htc_one_m8_16gb_dual_sim_rostest_1514707564?slocation=637640
"HTC legend (оригинал,ростест) 8GB",2 500 руб.,м. Орехово,https://www.avito.ru/moskva/telefony/htc_legend_originalrostest_8gb_884427076
HTC U11 128GB,33 000 руб.,м. Волжская,https://www.avito.ru/moskva/telefony/htc_u11_128gb_1368067629
HTC Desire (A8181),1 000 руб.,м. Аннино,https://www.avito.ru/moskva/telefony/htc_desire_a8181_1083592301
HTC,7 000 руб.,м. Бабушкинская,https://www.avito.ru/moskva/telefony/htc_1398726136
"Htc desire 400 работает, но не включается экран",1 800 руб.,м. Кантемировская,https://www.avito.ru/moskva/telefony/htc_desire_400_rabotaet_no_ne_vklyuchaetsya_ekran_649709001
HTC Desire 828,7 000 руб.,м. Новокосино,https://www.avito.ru/moskva/telefony/htc_desire_828_1054888474
HTC One M9 Grey,10 000 руб.,м. Комсомольская,https://www.avito.ru/moskva/telefony/htc_one_m9_grey_972571022
HTC U Play чёрного цвета в идеальном состоянии,9 800 руб.,,https://www.avito.ru/moskva/telefony/htc_u_play_chernogo_tsveta_v_idealnom_sostoyanii_1064255057
HTS Desire HD a9191,6 000 руб.,м. Дмитровская,https://www.avito.ru/moskva/telefony/hts_desire_hd_a9191_952121758
HTC One M8s,8 000 руб.,м. ВДНХ,https://www.avito.ru/moskva/telefony/htc_one_m8s_981570021
HTC,3 000 руб.,м. Домодедовская,https://www.avito.ru/moskva/telefony/htc_1652555135
HTC One M8,5 000 руб.,м. Орехово,https://www.avito.ru/moskva/telefony/htc_one_m8_1366848320
HTC X7510 Advantage,2 999 руб.,м. Севастопольская,https://www.avito.ru/moskva/telefony/htc_x7510_advantage_1025641961
HTC Desire 628 dual sim 32 Gb,7 000 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_628_dual_sim_32_gb_1185678992
HTC One S Z560e по запчастям,300 руб.,м. Новогиреево,https://www.avito.ru/moskva/telefony/htc_one_s_z560e_po_zapchastyam_982628985
HTC Desire 510. Идеальное состояние,3 000 руб.,м. Октябрьское поле,https://www.avito.ru/moskva/telefony/htc_desire_510._idealnoe_sostoyanie_702962339
HTC desire HD,1 600 руб.,м. Бульвар Дмитрия Донского,https://www.avito.ru/moskva/telefony/htc_desire_hd_923168328
HTC HD2,1 000 руб.,м. Красные ворота,https://www.avito.ru/moskva/telefony/htc_hd2_1142405737
HTC Sensation Z710e,990 руб.,м. Белорусская,https://www.avito.ru/moskva/telefony/htc_sensation_z710e_1522775940
HTC M10 64GB,15 999 руб.,,https://www.avito.ru/moskva/telefony/htc_m10_64gb_1696660752?slocation=637640
HTC One Mini 2 Новые С гарантией на 1 год,8 500 руб.,м. Савеловская,https://www.avito.ru/moskva/telefony/htc_one_mini_2_novye_s_garantiey_na_1_god_1036185846
HTC,5 000 руб.,м. Саларьево,https://www.avito.ru/moskva/telefony/htc_1650701552
HTC Explorer,2 000 руб.,,https://www.avito.ru/moskva/telefony/htc_explorer_1478703175?slocation=637640
HTC desire x,1 000 руб.,м. Лермонтовский проспект,https://www.avito.ru/moskva/telefony/htc_desire_x_1628215553
HTC M8 dual sim,8 000 руб.,м. Орехово,https://www.avito.ru/moskva/telefony/htc_m8_dual_sim_1686628671
Htc desire c,500 руб.,м. Выхино,https://www.avito.ru/moskva/telefony/htc_desire_c_883770827
HTC One X9 dual sim,8 400 руб.,,https://www.avito.ru/moskva/telefony/htc_one_x9_dual_sim_1161302246?slocation=637640
HTC Desire X dual sim black,5 000 руб.,м. Октябрьское поле,https://www.avito.ru/moskva/telefony/htc_desire_x_dual_sim_black_1144859690
Htc touch diamond,1 400 руб.,м. Войковская,https://www.avito.ru/moskva/telefony/htc_touch_diamond_790039595
HTC Desire A8181,1 500 руб.,м. Коломенская,https://www.avito.ru/moskva/telefony/htc_desire_a8181_1175784109
HTC,3 800 руб.,м. Братиславская,https://www.avito.ru/moskva/telefony/htc_1590255509
