(SMART)SmartCash(SMART),"0.352527
USD"
(REQ)RequestNetwork(REQ),"0.300535
USD"
(VIU)Viuly(VIU),"0.027481
USD"
(CAPP)Cappasity(CAPP),"0.143773
USD"
(OK)OKCash(OK),"0.260604
USD"
(BTC)Bitcoin(BTC),"8147.12
USD"
(XBY)XTRABYTES(XBY),"0.212301
USD"
(EDG)Edgeless(EDG),"0.873284
USD"
(OST)SimpleToken(OST),"0.296250
USD"
(MDA)MoedaLoyaltyPoints(MDA),"1.31
USD"
(BNB)BinanceCoin(BNB),"8.74
USD"
(WGR)Wagerr(WGR),"0.332438
USD"
(DIME)Dimecoin(DIME),"0.000055
USD"
(SOC)AllSports(SOC),"0.096856
USD"
(EXP)Expanse(EXP),"2.87
USD"
(UNITY)SuperNET(UNITY),"147.99
USD"
(TRX)TRON(TRX),"0.037184
USD"
(OCN)Odyssey(OCN),"0.027363
USD"
(NLC2)NoLimitCoin(NLC2),"0.134521
USD"
(VIB)Viberate(VIB),"0.242511
USD"
(SUB)Substratum(SUB),"0.648949
USD"
(GBYTE)ByteballBytes(GBYTE),"461.88
USD"
(PLBT)Polybius(PLBT),"4.24
USD"
(AION)Aion(AION),"2.98
USD"
(LOC)LockChain(LOC),"1.82
USD"
(BITCNY)bitCNY(BITCNY),"0.166493
USD"
(RDD)ReddCoin(RDD),"0.006598
USD"
(VOX)Voxels(VOX),"0.168113
USD"
(GUP)Matchpool(GUP),"0.279600
USD"
(DRGN)Dragonchain(DRGN),"1.66
USD"
(ZRX)0x(ZRX),"1.07
USD"
(VEE)BLOCKv(VEE),"0.072952
USD"
(CLOAK)CloakCoin(CLOAK),"9.24
USD"
(MCO)Monaco(MCO),"6.89
USD"
(GBX)GoByte(GBX),"26.10
USD"
(ATB)ATBCoin(ATB),"0.382535
USD"
(COB)Cobinhood(COB),"0.228622
USD"
(NULS)Nuls(NULS),"2.99
USD"
(XWC)WhiteCoin(XWC),"0.103114
USD"
(BCN)Bytecoin(BCN),"0.004554
USD"
(ETH)Ethereum(ETH),"819.35
USD"
(MER)Mercury(MER),"0.425164
USD"
(UKG)UnikoinGold(UKG),"0.406393
USD"
